"Manage Categories","Manage Categories"
"Add New Category","Add New Category"
"Save Category","Save Category"
"Save and Continue Edit","Save and Continue Edit"
"Delete Category","Delete Category"
"Edit Category '%1'","Edit Category '%1'"
"New Category","New Category"
"Category Information","Category Information"
Name,Name
Description,Description
Position,Position
"General Infomration","General Infomration"
"Manage Store Locators","Manage Store Locators"
"New Store","New Store"
"Manage Tags","Manage Tags"
"New Tag","New Tag"
"StoreLocator Settings","StoreLocator Settings"
Guide,Guide
"Get Support","Get Support"
"Manage StoreLocator","Manage StoreLocator"
"Add New StoreLocator","Add New StoreLocator"
"Save StoreLocator","Save StoreLocator"
"Delete StoreLocator","Delete StoreLocator"
"Edit StoreLocator '%1'","Edit StoreLocator '%1'"
"New StoreLocator","New StoreLocator"
ID,ID
Action,Action
"StoreLocator Information","StoreLocator Information"
City,City
"Zip Code","Zip Code"
Country,Country
State/Province,State/Province
Telephone,Telephone
Email,Email
website,website
"Marker Color","Marker Color"
"Marker FontIcon","Marker FontIcon"
Address,Address
lat,lat
lng,lng
Address2,Address2
"Image Thumbnail","Image Thumbnail"
"Store's link","Store's link"
Status,Status
"StoreLocator Status","StoreLocator Status"
"Store View","Store View"
Monday,Monday
Tuesday,Tuesday
Wednesday,Wednesday
Thursday,Thursday
Friday,Friday
Sartuday,Sartuday
Sunday,Sunday
"Page Title","Page Title"
"Meta keywords","Meta keywords"
"Meta Description","Meta Description"
linkedin,linkedin
Facebook,Facebook
Twitter,Twitter
Youtube,Youtube
Vimeo,Vimeo
"Google Plus","Google Plus"
"Gmap Location","Gmap Location"
Categories,Categories
Tags,Tags
"Gallery Images","Gallery Images"
"Opening Time","Opening Time"
Social,Social
SEO,SEO
"Add New Tag","Add New Tag"
"Save Tag","Save Tag"
"Delete Tag","Delete Tag"
"Edit Tag '%1'","Edit Tag '%1'"
"Tag Information","Tag Information"
"Store Locator","Store Locator"
Home,Home
"Go to Home Page","Go to Home Page"
"Return to Store Locator","Return to Store Locator"
"The category has been deleted.","The category has been deleted."
"We can't find a category to delete.","We can't find a category to delete."
Category,Category
"Manage Category","Manage Category"
"This Category no longer exists.","This Category no longer exists."
"Edit Category","Edit Category"
Lof_StoreLocator,Lof_StoreLocator
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"You saved this Category.","You saved this Category."
"Something went wrong while saving the category.","Something went wrong while saving the category."
"The storelocator has been deleted.","The storelocator has been deleted."
"We can't find a storelocator to delete.","We can't find a storelocator to delete."
StoreLocator,StoreLocator
"This storelocator no longer exists.","This storelocator no longer exists."
"Edit StoreLocator","Edit StoreLocator"
"Edit storelocator","Edit storelocator"
StoreLocators,StoreLocators
"Manage StoreLocators","Manage StoreLocators"
"You saved this StoreLocator.","You saved this StoreLocator."
"Something went wrong while saving the storelocator.","Something went wrong while saving the storelocator."
"The tag has been deleted.","The tag has been deleted."
"We can't find a tag to delete.","We can't find a tag to delete."
Tag,Tag
"Manage Tag","Manage Tag"
"This tag no longer exists.","This tag no longer exists."
"Edit Tag","Edit Tag"
"You saved this Tag.","You saved this Tag."
"Something went wrong while saving the tag.","Something went wrong while saving the tag."
"Store Locatorports","Store Locatorports"
